symbol_in,symbol_out,chain,sc_in,des_in,sc_out,des_out,status,CEX_GATE,CEX_BINANCE,CEX_MEXC,CEX_KUCOIN,CEX_BITGET,CEX_BYBIT,CEX_INDODAX,DEX_KYBER,DEX_0X,DEX_ODOS,DEX_OKX,DEX_1INCH,DEX_PARASWAP
BTTC,USDT,bsc,0x352cb5e19b12fc216548a2677bd0fce83bae434b,18,0x55d398326f99059fF775485246999027B3197955,18,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,900|800,100|70,1200|1100,400|350,1000|900,300|250
SHIB,USDT,bsc,0x2859e4544c4bb03966803b044a93563bd2d0dd4d,18,0x55d398326f99059fF775485246999027B3197955,18,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,900|800,100|70,1200|1100,400|350,1000|900,300|250
BONK,USDT,bsc,0xa697e272a73744b343528c3bc4702f2565b2f422,5,0x55d398326f99059fF775485246999027B3197955,18,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,900|800,100|70,1200|1100,400|350,1000|900,300|250
XEC,USDT,bsc,0x0ef2e7602add1733bfdb17ac3094d0421b502ca3,18,0x55d398326f99059fF775485246999027B3197955,18,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,900|800,100|70,1200|1100,400|350,1000|900,300|250
WIN,USDT,bsc,0xaef0d72a118ce24fee3cd1d43d383897d05b4e99,18,0x55d398326f99059fF775485246999027B3197955,18,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,900|800,100|70,1200|1100,400|350,1000|900,300|250
FLOKI,USDT,bsc,0xfb5b838b6cfeedc2873ab27866079ac55363d37e,9,0x55d398326f99059fF775485246999027B3197955,18,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,900|800,100|70,1200|1100,400|350,1000|900,300|250
1MBABYDOGE,USDT,bsc,0xc748673057861a797275cd8a068abb95a902e8de,15,0x55d398326f99059fF775485246999027B3197955,18,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,900|800,100|70,1200|1100,400|350,1000|900,300|250
SLP,USDT,bsc,0x070a08beef8d36734dd67a491202ff35a6a16d97,18,0x55d398326f99059fF775485246999027B3197955,18,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,900|800,100|70,1200|1100,400|350,1000|900,300|250
1000CHEEMS,USDT,bsc,0x0df0587216a4a1bb7d5082fdc491d93d2dd4b413,21,0x55d398326f99059fF775485246999027B3197955,18,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,900|800,100|70,1200|1100,400|350,1000|900,300|250
MBL,USDT,bsc,0x18e37f96628db3037d633fe4d469fb1933a63c5b,18,0x55d398326f99059fF775485246999027B3197955,18,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,900|800,100|70,1200|1100,400|350,1000|900,300|250
COS,USDT,bsc,0x96dd399f9c3afda1f194182f71600f1b65946501,18,0x55d398326f99059fF775485246999027B3197955,18,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,900|800,100|70,1200|1100,400|350,1000|900,300|250
IOST,USDT,bsc,0xaf48b7e315a52518cfbf7d96c455d9dfad94cb48,18,0x55d398326f99059fF775485246999027B3197955,18,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,900|800,100|70,1200|1100,400|350,1000|900,300|250
BANANAS31,USDT,bsc,0x3d4f0513e8a29669b960f9dbca61861548a9a760,18,0x55d398326f99059fF775485246999027B3197955,18,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,900|800,100|70,1200|1100,400|350,1000|900,300|250
TLM,USDT,bsc,0x2222227e22102fe3322098e4cbfe18cfebd57c95,4,0x55d398326f99059fF775485246999027B3197955,18,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,900|800,100|70,1200|1100,400|350,1000|900,300|250
BEAMX,USDT,bsc,0x62d0a8458ed7719fdaf978fe5929c6d342b0bfce,18,0x55d398326f99059fF775485246999027B3197955,18,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,900|800,100|70,1200|1100,400|350,1000|900,300|250
QKC,USDT,bsc,0xa1434f1fc3f437fa33f7a781e041961c0205b5da,18,0x55d398326f99059fF775485246999027B3197955,18,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,900|800,100|70,1200|1100,400|350,1000|900,300|250
QI,USDT,bsc,0x8729438eb15e2c8b576fcc6aecda6a148776c0f5,18,0x55d398326f99059fF775485246999027B3197955,18,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,900|800,100|70,1200|1100,400|350,1000|900,300|250
1000CAT,USDT,bsc,0x6894cde390a3f51155ea41ed24a33a4827d3063d,21,0x55d398326f99059fF775485246999027B3197955,18,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,900|800,100|70,1200|1100,400|350,1000|900,300|250
CELR,USDT,bsc,0x1f9f6a696c6fd109cd3956f45dc709d2b3902163,18,0x55d398326f99059fF775485246999027B3197955,18,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,900|800,100|70,1200|1100,400|350,1000|900,300|250
POND,USDT,bsc,0xa1428370f540b4c4e319224165ecae513a391f77,18,0x55d398326f99059fF775485246999027B3197955,18,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,900|800,100|70,1200|1100,400|350,1000|900,300|250
G,USDT,bsc,0x9c7beba8f6ef6643abd725e45a4e8387ef260649,18,0x55d398326f99059fF775485246999027B3197955,18,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,900|800,100|70,1200|1100,400|350,1000|900,300|250
ZIL,USDT,bsc,0xb86abcb37c3a4b64f74f59301aff131a1becc787,12,0x55d398326f99059fF775485246999027B3197955,18,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,900|800,100|70,1200|1100,400|350,1000|900,300|250
DATA,USDT,bsc,0x0864c156b3c5f69824564dec60c629ae6401bf2a,18,0x55d398326f99059fF775485246999027B3197955,18,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,900|800,100|70,1200|1100,400|350,1000|900,300|250
JASMY,USDT,bsc,0x15669cf161946c09a8b207650bfbb00e3d8a2e3e,18,0x55d398326f99059fF775485246999027B3197955,18,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,900|800,100|70,1200|1100,400|350,1000|900,300|250
ANKR,USDT,bsc,0xf307910a4c7bbc79691fd374889b36d8531b08e3,18,0x55d398326f99059fF775485246999027B3197955,18,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,900|800,100|70,1200|1100,400|350,1000|900,300|250
PEOPLE,USDT,bsc,0x2c44b726adf1963ca47af88b284c06f30380fc78,18,0x55d398326f99059fF775485246999027B3197955,18,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,900|800,100|70,1200|1100,400|350,1000|900,300|250
IOTX,USDT,bsc,0x9678e42cebeb63f23197d726b29b1cb20d0064e5,18,0x55d398326f99059fF775485246999027B3197955,18,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,900|800,100|70,1200|1100,400|350,1000|900,300|250
ACH,USDT,bsc,0xbc7d6b50616989655afd682fb42743507003056d,8,0x55d398326f99059fF775485246999027B3197955,18,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,900|800,100|70,1200|1100,400|350,1000|900,300|250
TOWNS,USDT,bsc,0x00000000bca93b25a6694ca3d2109d545988b13b,18,0x55d398326f99059fF775485246999027B3197955,18,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,900|800,100|70,1200|1100,400|350,1000|900,300|250
SOLV,USDT,bsc,0xabe8e5cabe24cb36df9540088fd7ce1175b9bc52,18,0x55d398326f99059fF775485246999027B3197955,18,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,900|800,100|70,1200|1100,400|350,1000|900,300|250
VET,USDT,bsc,0x6fdcdfef7c496407ccb0cec90f9c5aaa1cc8d888,18,0x55d398326f99059fF775485246999027B3197955,18,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,900|800,100|70,1200|1100,400|350,1000|900,300|250
MDT,USDT,bsc,0x668db7aa38eac6b40c9d13dbe61361dc4c4611d1,18,0x55d398326f99059fF775485246999027B3197955,18,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,900|800,100|70,1200|1100,400|350,1000|900,300|250
TRU,USDT,bsc,0xb4fcdcb8a0b29247466720ff81587d1a6f4fc4d7,8,0x55d398326f99059fF775485246999027B3197955,18,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,900|800,100|70,1200|1100,400|350,1000|900,300|250
ALT,USDT,bsc,0x8457ca5040ad67fdebbcc8edce889a335bc0fbfb,18,0x55d398326f99059fF775485246999027B3197955,18,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,900|800,100|70,1200|1100,400|350,1000|900,300|250
RDNT,USDT,bsc,0xf7de7e8a6bd59ed41a4b5fe50278b3b7f31384df,18,0x55d398326f99059fF775485246999027B3197955,18,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,900|800,100|70,1200|1100,400|350,1000|900,300|250
IDEX,USDT,bsc,0x0856978f7ffff0a2471b4520e3521c4b3343e36f,18,0x55d398326f99059fF775485246999027B3197955,18,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,900|800,100|70,1200|1100,400|350,1000|900,300|250
